,Delta,Theta,Alpha,Beta,Gamma,Subject,Session,Condition,BinaryCondition,TernaryCondition
ECoG_ch019,0.01524654250587431,0.0034952668117670463,0.0015995328135424453,0.0010601739342819948,0.0007704907425343232,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch020,0.015504340910333496,0.0033014981755021123,0.001584324044675262,0.0009725464792061957,0.0006892122189893743,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch021,0.02146225239794151,0.0035684035894161365,0.0019058993685253274,0.001055610036239354,0.0007170634739768702,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch022,0.02550373054364817,0.005626410757115729,0.0026638858386610637,0.0013868795920609948,0.0009282461063047887,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch023,0.03737696291187557,0.004596579583744881,0.00281287567971947,0.001665977727536443,0.0013722828276617768,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch024,0.033782169692644956,0.004800237705515109,0.002856396462676067,0.0016831951921025315,0.0013534255171551604,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch025,0.04286538186868416,0.008903272694080365,0.003924800108838215,0.001977006675369174,0.0015923023070718266,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch026,0.02560634448678215,0.005224950236587818,0.002843931558515691,0.0016500184036136727,0.0012971335988006029,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch027,0.03701107205665988,0.0042749803175413095,0.0023956479811517704,0.0015294894676068126,0.001130991144234233,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch028,0.03148922204779063,0.004278641857521423,0.0021361653959125356,0.0014009448136741947,0.0010430744009502155,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch029,0.02975073654511865,0.004245989689994673,0.001991827424478721,0.0013220737699588632,0.0009736474569825902,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch030,0.02236948750750909,0.0038575240756179283,0.0017898354316288774,0.0011908959204354331,0.0008758101866589393,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch031,0.017367323053042734,0.003246368688350576,0.0016548229171982746,0.00107494969293503,0.0007758093085009173,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch032,0.015400453743015779,0.0026993176608857334,0.0015513664453080617,0.0010116537704055026,0.0007235536387936757,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch033,0.017856572660329716,0.0031398963465330792,0.0018262192745961507,0.001255127552752916,0.0008883096923272688,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch034,0.11565820293727283,0.03700394829456109,0.014682335340560158,0.005885124729573305,0.0022388991535456405,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch035,0.0338139360727423,0.007092501190847475,0.0034520792777045974,0.0019141308337222028,0.0015209527026293335,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch036,0.027791105239679474,0.007158207042874636,0.0037781045400201814,0.0019147372774915219,0.0015395871371029393,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch037,0.03580903808105102,0.005900300063513663,0.003345535781939173,0.0018342942130651428,0.0014395005245231352,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch038,0.04309577441908346,0.005294905801686688,0.0029845864199490083,0.0017227373590173838,0.0013105967134567364,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch039,0.034529519495503654,0.0048071523024738475,0.002368920269203537,0.001550417908141189,0.0012327994001096044,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch040,0.03121297894486583,0.004435768588479725,0.0021145331880683474,0.0014331451924415762,0.0011176193453794766,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch041,0.02914582197891538,0.0042309495727475156,0.002039055966490026,0.0013615781287354364,0.0010211669719838404,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch042,0.021043324204401723,0.0035420489162290964,0.0017981979684754054,0.0011778192612585889,0.0008753980575210632,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch043,0.018096268834579713,0.0033144613897997752,0.0018619708396511014,0.0011690718721101378,0.000889486239074908,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch044,0.017858070540968867,0.0035229881941009713,0.002063625960873537,0.0012173290581267214,0.0009637240135506451,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch045,0.04288127512806078,0.010134334095431888,0.004545404727561334,0.0024354893495374887,0.0019024326690538242,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch046,0.04049949846748029,0.008752548816155049,0.004282118300618725,0.0025511362022265925,0.0023317914476567642,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch047,0.04868191724921181,0.009166356569130028,0.004301734075142342,0.0026684720361393353,0.0024718216351769942,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch048,0.04746495875223396,0.007592572172313561,0.0038503135508748424,0.0026540801477032555,0.0022919690500705562,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch049,0.052125943467541375,0.007675757189702944,0.004518860866739214,0.00275598191281923,0.002422659297198131,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch050,0.049932528683774485,0.007117137901458031,0.003966426734043425,0.002445363603789741,0.002140454242176181,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
